causas_2,Edad,Total,Hombres,Mujeres,porc_total,porc_hombres,porc_mujeres
Enfermedades del sistema circulatorio,40-44,592,439,153,16.6479190101237,19.313682358117,11.925175370226
Enfermedades del sistema circulatorio,45-49,1151,873,278,19.04052936311,22.3159509202454,13.033286451008
Enfermedades del sistema circulatorio,5-9,6,3,3,4.31654676258993,4.47761194029851,4.16666666666667
Enfermedades del sistema circulatorio,50-54,1996,1577,419,19.2126287419386,22.8253003328991,12.0402298850575
Enfermedades del sistema circulatorio,55-59,2934,2278,656,18.514545339812,21.5985588318953,12.377358490566
Enfermedades del sistema circulatorio,60-64,4073,3047,1026,18.541448536441,20.5047106325707,14.4364710848459
Enfermedades del sistema circulatorio,65-69,5014,3642,1372,18.2088901801278,19.4551282051282,15.562613430127
Enfermedades del sistema circulatorio,70-74,7541,5029,2512,19.4275556471558,19.6891394565813,18.9242127467229
Enfermedades del sistema circulatorio,75-79,10967,6523,4444,20.9393794749403,20.2684647173974,22.0087163232964
Enfermedades del sistema circulatorio,80-84,17517,8675,8842,23.65723546492,22.1238938053097,25.3832462536602
Enfermedades del sistema circulatorio,85-89,28391,11768,16623,26.4362999795147,24.2359337671966,28.2521499711071
Enfermedades del sistema circulatorio,90-94,25662,8504,17158,29.4342998715361,26.9062836170347,30.8719277411926
Enfermedades del sistema circulatorio,95+,13422,3179,10243,31.7710552478341,28.4397924494543,32.9696150379812
Enfermedades del sistema circulatorio,< 1 año,18,7,11,2.02247191011236,1.41129032258065,2.79187817258883
Enfermedades del sistema circulatorio,Todas las edades,119853,55946,63907,24.2727471566054,22.408517046911,26.1793766795569
Enfermedades del sistema respiratorio,1-4,13,8,5,6.91489361702128,6.83760683760684,7.04225352112676
Enfermedades del sistema respiratorio,10-14,8,4,4,4.23280423280423,3.6697247706422,5
Enfermedades del sistema respiratorio,15-19,14,10,4,3.69393139841689,4.13223140495868,2.91970802919708
Enfermedades del sistema respiratorio,20-24,31,23,8,5.09031198686371,5.02183406113537,5.29801324503311
Enfermedades del sistema respiratorio,25-29,22,15,7,2.67314702308627,2.58620689655172,2.88065843621399
Enfermedades del sistema respiratorio,30-34,53,36,17,4.33006535947712,4.24528301886792,4.52127659574468
Enfermedades del sistema respiratorio,35-39,79,48,31,4.08268733850129,3.84,4.52554744525547
Enfermedades del sistema respiratorio,40-44,148,109,39,4.16197975253093,4.79542454905411,3.03975058456742
Enfermedades del sistema respiratorio,45-49,264,185,79,4.36724565756824,4.72903885480573,3.7037037037037
Enfermedades del sistema respiratorio,5-9,3,1,2,2.15827338129496,1.49253731343284,2.77777777777778
Enfermedades del sistema respiratorio,50-54,429,285,144,4.12936760034652,4.12505427702996,4.13793103448276
Enfermedades del sistema respiratorio,55-59,707,480,227,4.46141225468543,4.55105717265573,4.28301886792453
Enfermedades del sistema respiratorio,60-64,1132,811,321,5.15318432193745,5.45760430686406,4.51667370198396
Enfermedades del sistema respiratorio,65-69,1719,1188,531,6.24273678094131,6.34615384615385,6.02313974591652
Enfermedades del sistema respiratorio,70-74,2699,1881,818,6.95331821929101,7.36434108527132,6.16242278137713
Enfermedades del sistema respiratorio,75-79,4220,2935,1285,8.05727923627685,9.11972159214492,6.36390649762282
Enfermedades del sistema respiratorio,80-84,6823,4181,2642,9.21466675670201,10.6628242074928,7.5845438364816
Enfermedades del sistema respiratorio,85-89,10604,5870,4734,9.87392219304617,12.089134195568,8.04582072810089
Enfermedades del sistema respiratorio,90-94,8967,4151,4816,10.2851440631308,13.1335822312219,8.66529921911548
Enfermedades del sistema respiratorio,95+,4485,1613,2872,10.6163897173697,14.4301306137055,9.24423844470194
Enfermedades del sistema respiratorio,< 1 año,3,1,2,0.337078651685393,0.201612903225806,0.50761421319797
Enfermedades del sistema respiratorio,Todas las edades,42423,23835,18588,8.59154758432974,9.54683094078442,7.61453758930327
Enfermedades infecciosas y parasitarias *,1-4,8,2,6,4.25531914893617,1.70940170940171,8.45070422535211
Enfermedades infecciosas y parasitarias *,10-14,8,5,3,4.23280423280423,4.58715596330275,3.75
Enfermedades infecciosas y parasitarias *,15-19,15,10,5,3.95778364116095,4.13223140495868,3.64963503649635
Enfermedades infecciosas y parasitarias *,20-24,20,12,8,3.28407224958949,2.62008733624454,5.29801324503311
Enfermedades infecciosas y parasitarias *,25-29,60,43,17,7.29040097205346,7.41379310344828,6.99588477366255
Enfermedades infecciosas y parasitarias *,30-34,79,46,33,6.45424836601307,5.42452830188679,8.77659574468085
Enfermedades infecciosas y parasitarias *,35-39,147,99,48,7.5968992248062,7.92,7.00729927007299
Enfermedades infecciosas y parasitarias *,40-44,240,165,75,6.74915635545557,7.25912890453146,5.84567420109119
Enfermedades infecciosas y parasitarias *,45-49,538,371,167,8.89991728701406,9.48364008179959,7.82934833567745
Enfermedades infecciosas y parasitarias *,5-9,4,3,1,2.87769784172662,4.47761194029851,1.38888888888889
Enfermedades infecciosas y parasitarias *,50-54,961,685,276,9.25016844739628,9.91460413952815,7.93103448275862
Enfermedades infecciosas y parasitarias *,55-59,1599,1104,495,10.090237899918,10.4674314971082,9.33962264150943
Enfermedades infecciosas y parasitarias *,60-64,2546,1836,710,11.5901124413894,12.3553162853297,9.99015055579007
Enfermedades infecciosas y parasitarias *,65-69,3705,2643,1062,13.4551133062173,14.1185897435897,12.046279491833
Enfermedades infecciosas y parasitarias *,70-74,6062,4093,1969,15.6172712283594,16.0245869548195,14.8335091155643
Enfermedades infecciosas y parasitarias *,75-79,9345,5958,3387,17.8424821002387,18.5128794705279,16.773969889065
Enfermedades infecciosas y parasitarias *,80-84,13543,7570,5973,18.2902289148491,19.3058070439418,17.1470402480335
Enfermedades infecciosas y parasitarias *,85-89,19692,9348,10344,18.3362199005531,19.251997693385,17.5804752031
Enfermedades infecciosas y parasitarias *,90-94,15224,5828,9396,17.4619196182786,18.4395367968107,16.9059699881248
Enfermedades infecciosas y parasitarias *,95+,6983,2008,4975,16.5293755621834,17.9638575773842,16.0132612334235
Enfermedades infecciosas y parasitarias *,< 1 año,17,8,9,1.91011235955056,1.61290322580645,2.28426395939086
Enfermedades infecciosas y parasitarias *,Todas las edades,80796,41837,38959,16.3628851949062,16.7573218405537,15.9594776168316
Tumores,1-4,48,30,18,25.531914893617,25.6410256410256,25.3521126760563
Tumores,10-14,64,39,25,33.8624338624339,35.7798165137615,31.25
Tumores,15-19,92,49,43,24.2744063324538,20.2479338842975,31.3868613138686
Tumores,20-24,108,68,40,17.7339901477833,14.8471615720524,26.4900662251656
Tumores,25-29,130,77,53,15.7958687727825,13.2758620689655,21.8106995884774
Tumores,30-34,279,131,148,22.7941176470588,15.4481132075472,39.3617021276596
Tumores,35-39,503,216,287,25.9948320413437,17.28,41.8978102189781
Tumores,40-44,1138,502,636,32.0022497187852,22.085349758029,49.5713172252533
Tumores,45-49,2210,1094,1116,36.5591397849462,27.9652351738241,52.3206751054852
Tumores,5-9,55,24,31,39.568345323741,35.8208955223881,43.0555555555556
Tumores,50-54,4189,2310,1879,40.3214938877659,33.434650455927,53.9942528735632
Tumores,55-59,7175,4266,2909,45.2767085252729,40.4475206219778,54.8867924528302
Tumores,60-64,10172,6414,3758,46.3058223699185,43.1628532974428,52.8774447727593
Tumores,65-69,12062,7936,4126,43.8044741429402,42.3931623931624,46.8012704174229
Tumores,70-74,14680,9716,4964,37.8194558944765,38.0393078067497,37.3964140424891
Tumores,75-79,15802,10272,5530,30.1708830548926,31.9174719572445,27.3870839936609
Tumores,80-84,16191,9716,6475,21.8664325747856,24.7787610619469,18.5881609921341
Tumores,85-89,16475,9087,7388,15.3407080470045,18.7144740093912,12.5565110982698
Tumores,90-94,8742,4233,4509,10.0270691870068,13.3930266405113,8.11292237935874
Tumores,95+,2618,1062,1556,6.19703640581357,9.50080515297907,5.00836873953908
Tumores,< 1 año,8,5,3,0.898876404494382,1.00806451612903,0.761421319796954
Tumores,Todas las edades,112741,67247,45494,22.8324179384984,26.9350006408613,18.6365274955758
Otras causas,1-4,66,35,31,35.1063829787234,29.9145299145299,43.6619718309859
Otras causas,10-14,58,32,26,30.6878306878307,29.3577981651376,32.5
Otras causas,15-19,77,46,31,20.3166226912929,19.0082644628099,22.6277372262774
Otras causas,20-24,110,75,35,18.0623973727422,16.3755458515284,23.1788079470199
Otras causas,25-29,123,75,48,14.9453219927096,12.9310344827586,19.7530864197531
Otras causas,30-34,176,104,72,14.3790849673203,12.2641509433962,19.1489361702128
Otras causas,35-39,288,186,102,14.8837209302326,14.88,14.8905109489051
Otras causas,40-44,569,370,199,16.0011248593926,16.2780466344039,15.510522213562
Otras causas,45-49,945,635,310,15.6327543424318,16.2321063394683,14.5335208626348
Otras causas,5-9,52,24,28,37.410071942446,35.8208955223881,38.8888888888889
